title,slug,topCategoryName,origin,price_unit
Nectarines chair blanche vrac FILIERE QUALITE CARREFOUR,nectarines-chair-blanche-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,0.92 € / KG
Nectarines plates blanches,nectarines-plates-blanches,Fruits et Légumes,FRANCE,4.99 € / KG
Nectarines chair blanche,nectarines-chair-blanche,Fruits et Légumes,ESPAGNE,2.24 € / KG
Nectarines chair jaune,nectarines-chair-jaune,Fruits et Légumes,ESPAGNE,2.24 € / KG
Nectarines jaunes,nectarines-jaunes,Fruits et Légumes,ESPAGNE,0.99 € / U
Nectarines blanches,nectarines-blanches,Fruits et Légumes,FRANCE,3.00 € / KG
Nectarines jaunes,nectarines-jaunes,Fruits et Légumes,FRANCE,3.00 € / KG
Nectarines chair jaune,nectarines-chair-jaune,Fruits et Légumes,FRANCE,2.25 € / KG
Nectarines chair blanche  PETIT PRIX,nectarines-chair-blanche-petit-prix,Fruits et Légumes,FRANCE,2.00 € / KG
Nectarines,nectarines,Fruits et Légumes,FRANCE,0.99 € / U
Nectarines plates chair blanche,nectarines-plates-chair-blanche,Fruits et Légumes,FRANCE,4.44 € / KG
Nectarines plates blanches Blanche,nectarines-plates-blanches-blanche,Fruits et Légumes,ORIGINE C.E.E.,2.46 € / KG
Nectarines plates jaunes Jaune,nectarines-plates-jaunes-jaune,Fruits et Légumes,ORIGINE C.E.E.,2.46 € / KG
Nectarines chair blanche,nectarines-chair-blanche,Fruits et Légumes,FRANCE,4.72 € / KG
Nectarines,nectarines,Fruits et Légumes,FRANCE,2.49 € / KG
Nectarines Zéro Residu,nectarines-zero-residu,Fruits et Légumes,ORIGINE C.E.E.,3.55 € / U
Nectarines jaunes chair jaune vrac FILIERE QUALITE CARREFOUR,nectarines-jaunes-chair-jaune-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,3.99 € / KG
Pêche SIMPL,peche-simpl,Fruits et Légumes,origine UE et Hors U.E.,2.99 € / KG
Pêche ronde,peche-ronde,Fruits et Légumes,FRANCE,3.20 € / KG
Pêche,peche,Fruits et Légumes,ESPAGNE,5.98 € / KG
Pêches chair jaune vrac,peches-chair-jaune-vrac,Fruits et Légumes,FRANCE,3.99 € / KG
Pêches de vigne chair blanche vrac,peches-de-vigne-chair-blanche-vrac,Fruits et Légumes,FRANCE,3.99 € / KG
Pêches plates vrac,peches-plates-vrac,Fruits et Légumes,ESPAGNE,2.99 € / KG
Pêches plates,peches-plates,Fruits et Légumes,ORIGINE C.E.E.,2.00 € / U
Pêches chair blanche vrac FILIERE QUALITE CARREFOUR,peches-chair-blanche-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,3.99 € / KG
