title,slug,topCategoryName,origin,price_unit
Saumon fumé de Norvège  LABEYRIE,saumon-fume-de-norvege-labeyrie,Viandes et Poissons,,39.18 € / KG
Saumon fumé Dégustation Sauvage LABEYRIE,saumon-fume-degustation-sauvage-labeyrie,Viandes et Poissons,,56.77 € / KG
Saumon Atlantique Légèrement Fumé de Norvège LABEYRIE,saumon-atlantique-legerement-fume-de-norvege-labeyrie,Viandes et Poissons,,61.46 € / KG
Saumon fumé au bois de hêtre LABEYRIE,saumon-fume-au-bois-de-hetre-labeyrie,Viandes et Poissons,,68.62 € / KG
Saumon fumé huile infusée au citron et combawa LABEYRIE,saumon-fume-huile-infusee-au-citron-et-combawa-labeyrie,Viandes et Poissons,,68.62 € / KG
Saumon Fumé Atlantique les Essentiels LABEYRIE,saumon-fume-atlantique-les-essentiels-labeyrie,Viandes et Poissons,,49.90 € / KG
Saumon fumé Atlantique fumé Ecosse DELPIERRE,saumon-fume-atlantique-fume-ecosse-delpierre,Viandes et Poissons,,58.25 € / KG
Saumon fumé fumé sauvage d'Alaska DELPIERRE,saumon-fume-fume-sauvage-d-alaska-delpierre,Viandes et Poissons,,69.00 € / KG
Filet de harengs au fumage doux DELPIERRE,filet-de-harengs-au-fumage-doux-delpierre,Viandes et Poissons,,9.20 € / KG
Filet de harengs fumé au bois de hêtre DELPIERRE,filet-de-harengs-fume-au-bois-de-hetre-delpierre,Viandes et Poissons,,11.90 € / KG
Plat cuisiné risotto aux crevettes DELPIERRE,plat-cuisine-risotto-aux-crevettes-delpierre,Viandes et Poissons,FRANCE,15.38 € / KG
Plat cuisiné gratin aux deux saumon pomme de terre et petits légumes DELPIERRE,plat-cuisine-gratin-aux-deux-saumon-pomme-de-terre-et-petits-legumes-delpierre,Viandes et Poissons,FRANCE,12.48 € / KG
Brochettes de morceaux de cabillaud salé et queues de crevettes cuites + sa marinade au basilic DELPIERRE,brochettes-de-morceaux-de-cabillaud-sale-et-queues-de-crevettes-cuites-sa-marinade-au-basilic-delpie,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),32.32 € / KG
