title,slug,topCategoryName,origin,price_unit
Tranche de thon Albacore décongelée,tranche-de-thon-albacore-decongelee,Viandes et Poissons,ATLANTIQUE OCEAN INDIEN,8.09 € / KG
Truites roses vidées  FILIERE QUALITE CARREFOUR,truites-roses-videes-filiere-qualite-carrefour,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),17.48 € / KG
Crevettes Bio entières cuites CARREFOUR BIO,crevettes-bio-entieres-cuites-carrefour-bio,Viandes et Poissons,EQUATEUR,16.67 € / KG
Crevettes cuites Bio,crevettes-cuites-bio,Bio et Ecologie,EQUATEUR,5.66 € / KG
Crevettes  Bio décortiquées  PALAIS DES METS,crevettes-bio-decortiquees-palais-des-mets,Viandes et Poissons,,62.17 € / KG
Crevettes bio nature L'ASSIETTE BLEUE,crevettes-bio-nature-l-assiette-bleue,Viandes et Poissons,,50.50 € / KG
Gambas bio décortiquées cuites CARREFOUR BIO,gambas-bio-decortiquees-cuites-carrefour-bio,Viandes et Poissons,FRANCE,56.90 € / KG
Araignée cuite,araignee-cuite,Viandes et Poissons,ATLANTIQUE NORD EST,11.18 € / KG
Brochettes crevettes ail et persil CARREFOUR LE MARCHE,brochettes-crevettes-ail-et-persil-carrefour-le-marche,Viandes et Poissons,FRANCE,39.92 € / KG
Chair d'écrevisses PALAIS DES METS,chair-d-ecrevisses-palais-des-mets,Viandes et Poissons,,56.80 € / KG
Couronne de Crevettes Sauce Curry Mangue,couronne-de-crevettes-sauce-curry-mangue,Viandes et Poissons,FRANCE,36.82 € / KG
Couronne de crevettes sauce cocktail DELPIERRE,couronne-de-crevettes-sauce-cocktail-delpierre,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),44.54 € / KG
Couronne de crevettes sauce fines herbes DELPIERRE,couronne-de-crevettes-sauce-fines-herbes-delpierre,Viandes et Poissons,ORIGINE PAYS TIERS,44.54 € / KG
Crevettes cuites de Madagascar 40/60 ASC FILIERE QUALITE CARREFOUR,crevettes-cuites-de-madagascar-40-60-asc-filiere-qualite-carrefour,Viandes et Poissons,MADAGASCAR,9.97 € / KG
Crevettes entières cuite ASC CARREFOUR LE MARCHE,crevettes-entieres-cuite-asc-carrefour-le-marche,Viandes et Poissons,EQUATEUR,9.98 € / KG
Crevettes entières ASC  CARREFOUR LE MARCHE,crevettes-entieres-asc-carrefour-le-marche,Viandes et Poissons,EQUATEUR,12.50 € / KG
Crevettes entières cuites ASC CARREFOUR LE MARCHE,crevettes-entieres-cuites-asc-carrefour-le-marche,Viandes et Poissons,EQUATEUR,14.98 € / KG
Crevettes entières cuites ASC 20/30 CARREFOUR LE MARCHE,crevettes-entieres-cuites-asc-20-30-carrefour-le-marche,Viandes et Poissons,EQUATEUR,19.97 € / KG
Crevettes de Madagascar CARREFOUR LE MARCHE,crevettes-de-madagascar-carrefour-le-marche,Viandes et Poissons,MADAGASCAR,24.97 € / KG
Crevettes entières LR FILIERE QUALITE CARREFOUR,crevettes-entieres-lr-filiere-qualite-carrefour,Viandes et Poissons,MADAGASCAR,33.96 € / KG
Crevettes nordiques décortiquées CARREFOUR EXTRA,crevettes-nordiques-decortiquees-carrefour-extra,Viandes et Poissons,,38.78 € / KG
