"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"18/08/2024";"Bière Blonde Forte Yéti BRASSERIE DES CIMES";"biere";"Boissons";"";8.05;1.33;0.0791;0.27;0.615;0.327;0.0359;0.0068
"12/04/2023";"Pommes de terre de consommation four, purée, potage";"pommes-de-terre-de-consommation-four-puree-potage";"Fruits et Légumes";"FRANCE";2.89;0.819;0.184;0.0002;0.0;0.526;0.044;0.0648
"22/05/2023";"Café capsules  Ristretto compatibles Nespresso intensité 12  LAVAZZA";"cafe";"Epicerie sucrée";"";3.29;0.0362;0.0249;0.001;0.0074;0.0023;0.0001;0.0006
"10/09/2022";"Duo de framboise et myrtille et son sachet de coulis";"duo-de-framboise-et-myrtille-et-son-sachet-de-coulis";"Fruits et Légumes";"origine UE et Hors U.E.";6.99;0.448;0.302;0.0;0.0;0.139;0.0038;0.0029
"25/08/2022";"Boisson lactée saveur caramel beurre salé stérilisée UHT CANDIA";"lait";"Crèmerie et Produits laitiers";"";1.99;0.437;0.308;0.0047;0.0364;0.0813;0.0062;0.0
"04/01/2024";"Bretzels salés au caramel beurre salé BN";"bretzels-sales-au-caramel-beurre-sale-bn";"Epicerie sucrée";"";2.29;0.712;0.656;0.0045;0.0112;0.0366;0.0036;0.0006
"21/01/2022";"Desserts crème caramel CARREFOUR ORIGINAL";"yaourt";"Crèmerie et Produits laitiers";"";3.15;1.51;0.824;0.122;0.337;0.198;0.0295;0.0055
"08/03/2024";"Biscuit fondant chocolat noir sans sucres ajoutés GERBLE";"biscuit-fondant-chocolat-noir-sans-sucres-ajoutes-gerble";"Epicerie sucrée";"";2.39;0.155;0.0838;0.019;0.0303;0.0191;0.0022;0.0
"14/10/2022";"Caramel Au Beurre Salé YANN DE BRETAGNE";"caramel-au-beurre-sale-yann-de-bretagne";"Crèmerie et Produits laitiers";"";11.5;7.91;7.29;0.0502;0.124;0.407;0.0403;0.0068
"22/12/2024";"Glace  caramel White Chocolate & Texan Pecan  NUII";"yaourt";"Surgelés";"";3.65;0.5;0.272;0.0401;0.111;0.0652;0.0097;0.0018
"06/11/2024";"Lait vitaminé Viva CANDIA";"lait";"Crèmerie et Produits laitiers";"";1.15;1.15;0.812;0.0124;0.0959;0.214;0.0162;0.0
"14/07/2024";"Crêpes Dentelles au Lait Noisettes et Amandes Pilées MERVEILLES DU MONDE";"crepes-dentelles-au-lait-noisettes-et-amandes-pilees-merveilles-du-monde";"Epicerie sucrée";"";2.74;0.115;0.0812;0.0012;0.0096;0.0214;0.0016;0.0
"24/01/2022";"Glace  Bâtonnet Smooth Vanilla HAAGEN-DAZS";"yaourt";"Surgelés";"";3.85;0.364;0.198;0.0292;0.081;0.0474;0.0071;0.0013
"05/05/2022";"Vin Blanc Savoie Chignin Roussanne JEAN PERRIER ET FILS";"vin";"Boissons";"";10.99;0.952;0.226;0.0248;0.509;0.175;0.0118;0.0051
"05/05/2024";"Dessert Dessert lacté au chocolat et aromatisé CARREFOUR";"dessert-dessert-lacte-au-chocolat-et-aromatise-carrefour";"Crèmerie et Produits laitiers";"";1.35;2.52;2.14;0.107;0.231;0.0354;0.0118;0.0
"15/01/2022";"Nara party SUSHI DAILY";"nara-party-sushi-daily";"Viandes et Poissons";"FRANCE";43.95;0.377;0.0827;0.0002;0.0;0.195;0.0202;0.0792
"29/12/2023";"Biscuits au chocolat au lait DELICHOC";"biscuits-au-chocolat-au-lait-delichoc";"Epicerie sucrée";"";3.15;1.97;1.67;0.0833;0.181;0.0277;0.0093;0.0
"28/07/2024";"Riz  complet  LUSTUCRU";"riz-complet-lustucru";"Epicerie salée";"";2.45;1.13;0.905;0.0001;0.0214;0.194;0.0114;0.0
"18/11/2023";"Bonbons à mâcher Original Mix HITSCHIES";"bonbons-a-macher-original-mix-hitschies";"Epicerie sucrée";"";1.89;0.223;0.108;0.0455;0.0347;0.0317;0.0031;0.0
"15/09/2023";"Cordon bleu poulet LE GAULOIS";"cordon-bleu-poulet-le-gaulois";"Viandes et Poissons";"";1.89;0.245;0.133;0.0302;0.0481;0.0303;0.0035;0.0
"27/10/2023";"Bière blonde KRONENBOURG";"biere";"Boissons";"";5.94;4.04;0.24;0.819;1.86;0.99;0.109;0.0205
"27/03/2022";"Fromage crème à tartiner Bio KIRI";"fromage";"Bio et Ecologie";"";2.35;0.844;0.701;0.0391;0.0611;0.0368;0.0053;0.001
