title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Jus de Fruits Pomme Mangue Passion pressé FLORETTE;jus-de-fruits-pomme-mangue-passion-presse-florette;Fruits et Légumes;FRANCE;3,99;8,16;0,105;0,0001;0;7,98;0,0174;0,0564
Nectar Fruit De La Passion CARESSE ANTILLAISE;nectar-fruit-de-la-passion-caresse-antillaise;Fruits et Légumes;;3,45;0;0;0;0;0;0;0
Jus de Pomme Pressée Douce Pink Lady Pur Jus TROPICANA;jus-de-pomme-pressee-douce-pink-lady-pur-jus-tropicana;Fruits et Légumes;;2,99;0,368;0,0828;0,0001;0;0,236;0,0197;0,0291
Jus De Pomme Pressées 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-de-pomme-pressees-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;2,79;0,408;0,0919;0,0001;0;0,262;0,0219;0,0323
Jus De Pomme SIMPL;jus-de-pomme-simpl;Boissons;;1,59;0,408;0,0919;0,0001;0;0,262;0,0219;0,0323
Jus De Pomme INNOCENT;jus-de-pomme-innocent;Fruits et Légumes;;4,35;0,612;0,138;0,0001;0;0,393;0,0329;0,0485
Jus De Pomme INNOCENT;jus-de-pomme-innocent;Fruits et Légumes;;2,99;0,368;0,0828;0,0001;0;0,236;0,0197;0,0291
Jus De Pommes ANDROS;jus-de-pommes-andros;Fruits et Légumes;;2,3;0,469;0,106;0,0001;0;0,301;0,0252;0,0371
Jus De Prune De Cythère CARESSE ANTILLAISE;jus-de-prune-de-cythere-caresse-antillaise;Fruits et Légumes;;3,45;1,03;0,64;0;0;0,298;0,0159;0,0806
Jus De Fruits Multifruits CARREFOUR EXTRA;jus-de-fruits-multifruits-carrefour-extra;Fruits et Légumes;;1,89;0;0;0;0;0;0;0
Boisson Aux Fruits SUNNY DELIGHT;boisson-aux-fruits-sunny-delight;Fruits et Légumes;;2,49;0;0;0;0;0;0;0
Jus de Fruits Multivitaminés Pur Jus TROPICANA;jus-de-fruits-multivitamines-pur-jus-tropicana;Fruits et Légumes;;2,95;0;0;0;0;0;0;0
Jus de Fruits Ananas et Citron Vert Pur Jus TROPICANA;jus-de-fruits-ananas-et-citron-vert-pur-jus-tropicana;Fruits et Légumes;;3,45;1,23;0,332;0;0;0,581;0,0229;0,291
Jus Plus Énergie Chérie INNOCENT;jus-plus-energie-cherie-innocent;Fruits et Légumes;;3,05;0;0;0;0;0;0;0
Jus Plus Green De Star INNOCENT;jus-plus-green-de-star-innocent;Fruits et Légumes;;3,05;0;0;0;0;0;0;0
Jus de Fruits Orange Pomme Fraise Framboise pressé à froid FLORETTE;jus-de-fruits-orange-pomme-fraise-framboise-presse-a-froid-florette;Fruits et Légumes;FRANCE;3,99;0,358;0,159;0;0;0,183;0,0092;0,007
Jus de fruits orange clémentine raisin CARREFOUR EXTRA;jus-de-fruits-orange-clementine-raisin-carrefour-extra;Fruits et Légumes;;1,99;1,3;0,583;0,0001;0;0,474;0,0298;0,215
Jus de fruits multivitamines 12 fruits CARREFOUR EXTRA;jus-de-fruits-multivitamines-12-fruits-carrefour-extra;Boissons;;3,29;0;0;0;0;0;0;0
Jus De Fruits Pomme / Framboises INNOCENT;jus-de-fruits-pomme-framboises-innocent;Fruits et Légumes;;1,95;0,509;0,343;0;0;0,158;0,0043;0,0033
Jus Multifruits Tutti Frutti INNOCENT;jus-multifruits-tutti-frutti-innocent;Fruits et Légumes;;2,99;0;0;0;0;0;0;0
Jus Multifruits Pomme, Raisin, Poire Et Grenade  INNOCENT;jus-multifruits-pomme-raisin-poire-et-grenade-innocent;Fruits et Légumes;;3,49;0,448;0,0935;0;0;0,268;0,0143;0,0725
Jus Multifruits Orange Et Kiwi INNOCENT;jus-multifruits-orange-et-kiwi-innocent;Fruits et Légumes;;2,99;0,902;0,431;0,0128;0;0,373;0,0123;0,0726
Jus Multifruits Orange Et Carotte INNOCENT;jus-multifruits-orange-et-carotte-innocent;Fruits et Légumes;;2,99;0,357;0,0746;0,0001;0;0,236;0,017;0,0291
Jus Multifruits Myrtille Cassis  Pomme Et Cranberry INNOCENT;jus-multifruits-myrtille-cassis-pomme-et-cranberry-innocent;Fruits et Légumes;;2,99;1,71;1,35;0,0001;0;0,268;0,0223;0,0726
Jus Multifruits Pomme Et Framboise INNOCENT;jus-multifruits-pomme-et-framboise-innocent;Fruits et Légumes;;2,99;1,39;0,937;0;0;0,432;0,0118;0,009
Jus Multifruits Ananas  Et Fruit De La Passion INNOCENT;jus-multifruits-ananas-et-fruit-de-la-passion-innocent;Fruits et Légumes;;2,75;1,22;0,331;0;0;0,58;0,0228;0,29
Jus Multifruits Pomme  Et Mangue INNOCENT;jus-multifruits-pomme-et-mangue-innocent;Fruits et Légumes;;2,99;10,5;0,135;0,0001;0;10,3;0,0223;0,0726
Jus Multifruits Fraise, Pastèque, Pomme Et Twist De Menthe  INNOCENT;jus-multifruits-fraise-pasteque-pomme-et-twist-de-menthe-innocent;Fruits et Légumes;;3,15;0,479;0,213;0;0;0,245;0,0123;0,0093
Jus Multifruits Mangue, Fruit De La Passion, Pomme Et Twist De Vanille  INNOCENT;jus-multifruits-mangue-fruit-de-la-passion-pomme-et-twist-de-vanille-innocent;Fruits et Légumes;;3,15;10,3;0,132;0,0001;0;10,1;0,0219;0,0711
Nectar Multifruits CARESSE ANTILLAISE;nectar-multifruits-caresse-antillaise;Fruits et Légumes;;3,45;0;0;0;0;0;0;0
Boisson Citronnade Duo de Citrons MONTEBELO BRASIL;boisson-citronnade-duo-de-citrons-montebelo-brasil;Fruits et Légumes;;2,19;0,764;0,194;0,0001;0;0,406;0,0255;0,138
Jus d'Orange Pur Jus avec Pulpe MONTEBELO BRASIL;jus-d-orange-pur-jus-avec-pulpe-montebelo-brasil;Fruits et Légumes;;2,59;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus d'Orange Pur Jus sans Pulpe MONTEBELO BRASIL;jus-d-orange-pur-jus-sans-pulpe-montebelo-brasil;Fruits et Légumes;;2,59;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus d'orange maracuja MONTEBELO BRASIL;jus-d-orange-maracuja-montebelo-brasil;Fruits et Légumes;;3,49;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus de Mangue et Ananas 100% Pur Jus MONTEBELO BRASIL;jus-de-mangue-et-ananas-100-pur-jus-montebelo-brasil;Fruits et Légumes;;3,49;1,36;0,368;0;0;0,645;0,0254;0,323
Jus De Grenade CARREFOUR EXTRA;jus-de-grenade-carrefour-extra;Fruits et Légumes;;3,55;0,249;0,052;0;0;0,149;0,008;0,0403
Gazpacho CARREFOUR EXTRA;gazpacho-carrefour-extra;Fruits et Légumes;;2,59;0;0;0;0;0;0;0
Gazpacho L'Original ALVALLE;gazpacho-l-original-alvalle;Fruits et Légumes;;6,99;0;0;0;0;0;0;0
Gazpacho Concombre et Menthe ALVALLE;gazpacho-concombre-et-menthe-alvalle;Fruits et Légumes;;4,29;0,733;0,28;0,0001;0;0,375;0,0313;0,0462
Gazpacho L'Original ALVALLE;gazpacho-l-original-alvalle;Fruits et Légumes;;2,39;0;0;0;0;0;0;0
Gazpacho Vert ALVALLE;gazpacho-vert-alvalle;Fruits et Légumes;;3,49;0;0;0;0;0;0;0
Gazpacho Tomate Menthe Basilic ALVALLE;gazpacho-tomate-menthe-basilic-alvalle;Fruits et Légumes;;3,99;0,0623;0,032;0;0,0091;0,0045;0,0002;0,0164
Gazpacho Tomate Pastèque Menthe ALVALLE;gazpacho-tomate-pasteque-menthe-alvalle;Fruits et Légumes;;3,49;0,973;0,342;0;0;0,494;0,0227;0,115
Gazpacho Salmorejo ALVALLE;gazpacho-salmorejo-alvalle;Fruits et Légumes;;4,19;0;0;0;0;0;0;0
Olives vertes entières à la persillade TROPIC APERO;olives-vertes-entieres-a-la-persillade-tropic-apero;Charcuterie et Traiteur;MAROC;4,7;0;0;0;0;0;0;0
Amandes décortiquées CARREFOUR LE MARCHE;amandes-decortiquees-carrefour-le-marche;Fruits et Légumes;ETATS-UNIS;3;0;0;0;0;0;0;0
Amandes décortiquées  CARREFOUR LE MARCHE;amandes-decortiquees-carrefour-le-marche;Fruits et Légumes;ETATS-UNIS;3;0;0;0;0;0;0;0
Chiche Chichou Caramélisés;chiche-chichou-caramelises;Fruits et Légumes;;2,5;0,0593;0,0215;0;0;0,0209;0,0019;0,0151
Chiche Chichou Sésame Toasté CHICHE;chiche-chichou-sesame-toaste-chiche;Fruits et Légumes;;2,5;0,0593;0,0215;0;0;0,0209;0,0019;0,0151
Graine de tournesol salé  CHURRUCA;graine-de-tournesol-sale-churruca;Fruits et Légumes;;3,15;0;0;0;0;0;0;0
Graines mélange s/sel ajouté BRUT DE COQUES;graines-melange-s-sel-ajoute-brut-de-coques;Fruits et Légumes;FRANCE;4,6;0;0;0;0;0;0;0
Graines de Pavot;graines-de-pavot;Fruits et Légumes;;3,35;0;0;0;0;0;0;0
Graines Grillées Apéro Sésame et Pointe de Sel;graines-grillees-apero-sesame-et-pointe-de-sel;Fruits et Légumes;;2,5;0;0;0;0;0;0;0
Graines Grillées Apéro Paprika et Pointe de Sel;graines-grillees-apero-paprika-et-pointe-de-sel;Fruits et Légumes;;2,5;0;0;0;0;0;0;0
