Date;product_family;title;price;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption
17/11/2024;Boissons;Boisson énergisante Monarch MONSTER ENERGY;1,79;0,246665;0,0451;0,0065;0,069;0,1045;0,01815;0,003415
15/11/2024;Surgelés;Queues de crevettes semi-décortiquées CARREFOUR CLASSIC';7,69;6,104362205;5,3706984;3,8405E-05;0,205526726;0,378049161;0,027033515;0,123015997
26/11/2022;Crèmerie et Produits laitiers;Fromage frais nature 20% MG MALO;1,59;2,34209397;1,944673869;0,108383668;0,169506784;0,102111558;0,014701508;0,002716583
05/12/2024;Boissons;Vin  Rouge Bandol Bio  DOMAINE BUNAN;13,70;0,951298905;0,225708812;0,024820471;0,509157088;0,174718117;0,011772852;0,005121565
10/11/2022;Boissons;Boisson au Jus de Cranberry et Pêche Blanche OCEAN SPRAY;2,69;0,49333;0,0902;0,013;0,138;0,209;0,0363;0,00683
21/11/2024;Boissons;Sirop au caramel CARAMBAR;3,95;0,559957902;0,102382184;0,014755747;0,156637931;0,237227011;0,041202586;0,007752443
16/03/2024;Boissons;Vin Blanc Val de Loire IGP Val De Loire Pinot Gris DOMAINE DU PETIT CHATEAU SELECTION AMELIE PINOT GRIS;7,30;0,951798458;0,225827338;0,024833505;0,50942446;0,174809866;0,011779034;0,005124255
04/07/2023;Crèmerie et Produits laitiers;Skyr framboise SIGGI'S;2,19;0,432143514;0,291253197;4,98491E-06;0;0,134424552;0,00366867;0,00279211
04/10/2022;Boissons;Vin Rouge A.O.P. Val de Loire Bourgueil Cabernet Franc LA CAVE D'AUGUSTIN FLORENT;6,39;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
04/05/2023;Boissons;Vin Rosé de France Frais Et Fruité PAPOTE;5,10;1,121319411;0,266048527;0,029256499;0,600155979;0,205944541;0,01387695;0,006036915
04/02/2024;Crèmerie et Produits laitiers;Lait Demi-Ecreme Stérilisé UHT de Montagne MONT LAIT;7,62;6,903;4,872;0,0744;0,5754;1,284;0,0972;0
18/10/2023;Boissons;Vin Blanc Côtes Du Rhône Étienne Barret Bio CROZES HERMITAGE;14,99;0,951313842;0,225712356;0,02482086;0,509165083;0,17472086;0,011773037;0,005121646
18/12/2022;Epicerie sucrée;Café capsules Lungo Classique n°6 compatibles Nespresso GIGA FORMAT CARTE NOIRE;15,59;0,28468012;0,195322989;0,008108592;0,057790517;0,018009138;0,000431413;0,005017471
16/08/2024;Fruits et Légumes;Oignons jaunes Bio;2,49;0,50334931;0,120908654;8,20024E-05;0;0,320826923;0,022864904;0,038666827
21/03/2022;Crèmerie et Produits laitiers;Skyr protéiné vanille 0% MG YOPLAIT;2,39;0,517833333;0,36547646;0,005581168;0,04316403;0,096320151;0,007291525;0
07/05/2022;Surgelés;Glace Cône Framboise et Parfum Crème EXTREME;4,00;0,790294056;0,429614181;0,063399374;0,176016684;0,103023983;0,015391032;0,002848801
22/06/2023;Crèmerie et Produits laitiers;Fromage Tomme des Bauges AOP REFLETS DE FRANCE;0,79;1,16368191;0,966221608;0,053851005;0,084220352;0,050734673;0,007304523;0,001349749
07/11/2023;Crèmerie et Produits laitiers;Crème Légère et Fluide à 12% MG Stérilisée UHT BRIDELICE;1,99;0,57525;0,406;0,0062;0,04795;0,107;0,0081;0
01/08/2024;Epicerie sucrée;Œufs en chocolat au lait du pays Alpin MILKA;7,80;2,760899058;2,34;0,116527591;0,252651413;0,038772544;0,01294751;0
24/09/2022;Fruits et Légumes;Oignons rouges;0,99;0,21023425;0,0505;0,00003425;0;0,134;0,00955;0,01615
